"163","a number that goes into the number","NORM","","I-OTH","XCOR",""
"169","integer, it is 1 because it is even","NORM","","I-OTH","XCOR",""
"120","everything to 0","NORM","","I-OTH","XCOR",""
"153","multiplies the first integer by 2 and then subtracts by x","NORM","","I-OTH","XCOR",""
"184","x2 -1","NORM","","I-OTH","XCOR",""
"131","Serves as average","NORM","","I-OTH","XCOR",""
"185","Assigns random value for every input.","NORM","","I-OTH","XCOR",""
"174","Adds 2 to the input integer","NORM","","I-OTH","XCOR",""
"168","middle value","NORM","","I-OTH","XCOR",""
"136","1 or goes to the even","NORM","","I-OTH","XCOR",""
"108","an even number is multiplied and an odd number is added","NORM","","I-OTH","XCOR",""
"119","It adds a number to be added each time.","NORM","","I-OTH","XCOR",""
"176","It multiplies odd numbers by what odd number they are in a list the first number being number 0.","NORM","","I-OTH","XCOR",""
"160","2","NONS","","","",""
"92","Decimal?","NONS","","","",""
"154","determines guessing skills","NONS","","","",""
"148","36","NONS","","","",""
"138","1","NONS","","","",""
"128","0","NONS","","","",""
"109","3","NONS","","","",""
"170","alot","NONS","","","",""
"178","solves","NONS","","","",""
"167","6","NONS","","","",""
"146","FALSE","NONS","","","",""
"187","if the addition is odd, false","NONS","","","",""
"123","evaluates fractional values from the integer","NONS","","","",""
"134","count","NONS","","","",""
"175","boolean","NONS","","","",""
"124","i don't know","IDK","","","",""
"94","not sure","IDK","","","",""
"91","no clue at all","IDK","","","",""
"113","im really not sure","IDK","","","",""
"137","I still do not kn ow","IDK","","","",""
"161","no clue","IDK","","","",""
"157","no idea","IDK","","","",""
"173","dont know","IDK","","","",""
"190","i am not sure","IDK","","","",""
"162","I have no idea","IDK","","","",""
"118","No idea","IDK","","","",""
"158","no idea","IDK","","","",""
"177","no idea","IDK","","","",""
"129","i do not understand","IDK","","","",""
"140","honestly I have no idea","IDK","","","",""
"147","idk","IDK","","","",""
"126","I really don't know, I'm very bad at math","IDK","","","",""
"121","I can't decide","IDK","","","",""
"141","?","IDK","","","",""
"125","I have no idea.","IDK","","","",""
